pH,TEMPERATURA (°C),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)
6.8,,179.9,0.103
6.8,24,149.2,0.273
6.9,24,165,0.52
6.8,23.8,158,0.446
6.8,24,149.2,0.52
6.1,14,94.3,0.125
6.3,14,104.6,0.125
5.3,20.3,79.8,0.014
6.9,15,72,0.147
6.06,20.4,62,0.081
7,23,87,0.014
6.8,0,103.2,0.076
6.8,22,111.1,0.195
6.6,21,123.7,0.269
7.2,20,111.6,0.299
6.8,24,153,0.166
7.5,24.5,161.6,0.28
6.9,25,150,0.284
6.8,25,155,0.354
7.7,26,145.87,0.351
5.98,18,128,0.2511
6.5,21,74.5,0.166
6.8,21,73.4,0.151
7,20.5,69.9,0.133
7,21,73.4,0.118
7.1,18,89.6,0.089
7.2,18,94.3,0.066
6.8,18,190.5,0.174
7,16,92,N.D.
6.7,16,115,0.089
7.3,24,113.2,0.314
7.2,24,122.6,0.166
7.1,24,122.6,0.155
7.2,25,141.4,0.174
7.2,25,122.6,0.118
7.3,18,142.8,0.181
7.6,18,137.7,0.318
7.1,18,158.1,0.159
7.8,18,137.7,0.181
7.7,18,132.6,0.329
6.2,12,87.25,0.148
7,14,59.79,0.114
7,16,77.84,0.192
7.3,,80.44,0.1
6.4,16,98.9,0.214
7.2,17,109.9,0.225
6.8,16,219.8,0.207
7,20,118.3,0.196
6.9,20,122.4,0.081
6.9,20,130.6,0.129
6.9,16,159.6,0.199
7,16,170.2,0.181
7,15,189.54,0.233
7.5,15,159.6,0.417
7,16,163.2,0.17
7,16,173.4,0.303
7.5,16,173.4,0.391
7.9,16,173.4,0.358
7.6,16,163.2,0.502
6.7,14,102,0.202
6.8,14,102,0.177
7.8,16,102,0.13
6.7,14,102,0.294
7,15,102,0.195
6.8,16,111.1,0.217
7.1,20,343.4,0.075
7.2,18,112.2,0.0213
6.5,,163.2,0.181
6.7,8,142.8,0.177
6.9,20,142.8,0.235
6.8,21,141.4,0.239
7.2,21,141.4,0.308
6.9,22,173.4,0.246
7,,166.4,0.159
7.4,,166.4,0.341
7.3,,180,0.432
6.8,,166.4,0.669
7.3,,186,0.414
6.1,,127.7,0.086
6,,126.4,0.068
6.6,15,127.7,0.097
6.8,,104.3,0.119
7.2,15,85.3,0.173
7.1,15,138.3,0.195
7.1,,157.9,0.177
7.1,18,110.2,0.316
4.1,20,163.2,0.2
7.3,20,122.4,0.232
7.3,18,142.8,0.297
6.9,18,204,0.268
7.2,18,153,0.297
7,18,142.8,0.228
7,18,159.6,0.275
7.4,18,179,0.254
7.4,17,179,0.48
7.1,16,212.8,0.297
7,16,187.7,0.44
7.1,,727.2,0.06
6.9,18,112.2,0.312
7,18,122.4,0.275
6.7,20,105.6,0.24
6.8,20,86.2,0.24
7.1,18,84.2,0.16
7.2,21,82.2,0.195
7.1,19,84.2,0.19
6.8,23,99.8,0.17
7.2,23,107,0.115
7,24,119.7,0.166
6.8,26,145.1,0.147
7,25,146.9,0.191
7,,145.1,0.159
6.9,,191.7,0.13
6.9,,170.5,0.071
7.2,,169.7,0.33
6.9,22,197.2,0.47
7.5,22,198,0.63
7.6,22,188.6,0.82
7.4,22,188.6,0.79
7.5,20,188.6,0.84
6.6,20,78.3,0.213
6.5,20,68.5,0.148
7,20,68.5,0.556
6.7,20,68.5,0.188
6.7,22,78.3,0.166
7,20,94.7,0.21
6.9,20,105.3,0.19
6.8,20,127.68,0.15
6.9,20,136.9,0.14
7,20,147.4,0.16
7.1,22,75.4,0.192
7.2,22,84.9,0.476
7.2,22,94.3,0.181
7.3,22,94.3,0.421
7.2,22,156.6,1.62
7.5,22,156.6,0.658
7.8,22,166.4,0.181
7.9,22,166.4,0.228
7.8,22,176.2,1.86
6.5,20,94.3,0.118
6.6,20,94.3,0.243
6.2,20,84.8,0.417
6.6,21,84.8,0.523
6.4,21,75.4,0.162
6.6,22,146.9,3.74
6.8,22,88.1,2.53
7,20,75.4,0.29
7,22,47.2,0.297
7.3,22,75.4,0.337
7.1,,146.8,0.111
7.1,,146.8,0.097
6.9,,156.6,0.119
6.9,,146.8,0.148
7.5,24,160.3,0.344
7.5,24,169.7,0.04
7.4,24,160.3,0.337
7.3,24,169.7,0.396
7.1,24,169.7,0.417
6.8,20,75.4,0.049
6.5,20,78.3,0.082
6.7,20,68.5,0.126
6.7,20,68.5,0.1
6.7,21,68.5,0.169
6.6,22,94.3,0.297
7.1,22,94.3,0.199
6.6,23,103.7,0.17
