Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
21,91.6,7.1,0.769
20,111.4,6.99,0.758
19,112.9,7.1,1.015
19,108.4,7.07,0.602
19,110.8,7.07,1.281
23.8,123.5,7.14,0.749
22.6,173,7.1,0.85
22.6,137.7,7.13,0.593
22.6,116.7,7.59,0.885
22,116.7,8,1.294
20,86.9,9,0.553
20,74.8,8.62,0.417
20.8,72.8,8.46,0.421
21.2,73.3,8.32,0.572
16,83.8,7.23,0.528
18,84.6,7.21,0.444
18,93.1,7.16,0.782
18,97.2,7.04,0.541
20,108.3,7.01,0.614
20,121.9,7.1,0.584
20,120.5,7.12,0.696
20,120.8,7.09,0.703
20,180.4,7.02,0.619
23.7,128.4,8.71,0.616
23.5,159.1,7.84,0.6
23.1,169.1,7.95,0.846
22.4,145.1,8.1,1.203
22.1,86.9,8.58,0.732
22,99.1,7.56,0.498
20,102.1,7.29,0.4
19,129.2,7.2,0.429
21,131.4,6.96,0.471
19,145.5,7.05,0.402
21,150.8,7.1,0.415
22,165.8,7.3,0.426
25.4,204.1,8.81,0.616
25.1,191.1,8.58,0.718
25.6,187,8.57,0.737
24.8,195.3,8.31,0.687
23.7,167.8,8.71,0.865
21.1,67.2,7.01,0.46
21.3,66.9,6.98,0.42
21.7,62.7,7.15,0.42
21.3,61.1,7.3,0.41
21.6,64.5,7.16,0.74
21,82.2,7.33,0.56
20,82.6,7.3,0.75
22,93.4,7.16,0.98
21,98.4,7.09,0.95
21,103.4,7.06,0.63
22,115.8,7.04,0.75
22,115.8,7.11,0.85
22,122.4,7.07,0.71
22,118.7,6.96,0.87
22.6,122.4,7.16,0.74
22.1,125.3,7.24,0.88
22.4,146.8,7.3,1.06
22.2,138.3,7.29,1.24
21.5,131,7.33,3.03
21.1,67.2,6.92,0.564
20.9,69.6,6.98,0.421
21.3,80.5,7.1,0.64
21.5,82.2,7.02,0.513
21.8,89.9,7,0.448
22.1,98.3,7.03,0.562
22.2,105.2,7,0.421
22.2,118.4,7.11,0.445
22.1,111.2,7.1,0.469
23.1,129.2,7.05,0.493
22.7,131,6.96,1.017
24,156.7,7.92,0.937
24,138.8,7.3,0.882
24,132.7,7.17,0.653
23,149.6,7.86,0.659
23,143.6,7.2,0.727
22.7,145.9,7.44,0.596
20.6,88.6,6.72,0.002
23.2,149.9,7.33,0.44
21.8,65.5,6.84,0.268
21.8,65.3,7.84,0.389
22.4,66.5,7.19,0.448
22.5,65.8,7.21,0.205
22.5,64.6,7.1,0.308
23.2,81.4,7.34,0.4
23.3,83.8,7.3,0.315
23.3,92.5,7.27,0.44
23.6,103,7.15,0.396
23.5,102,7.18,0.409
24.2,111,7.12,0.545
24.6,118,7.16,0.399
24.7,118,7.13,0.557
24.8,118,7.09,0.601
25.4,123,7.13,0.763
24.3,154,7.28,0.806
24.8,117,7.4,0.673
22.8,146,7.65,1.08
24.2,149,7.38,0.59
21.5,72.9,6.72,0.184
21.5,73.4,6.75,0.263
21.8,69.8,6.91,0.16
21.6,102,7.24,0.134
23.8,70.4,7.24,0.169
23.6,101,7.52,0.624
23.8,112,7.37,0.158
24.1,119,7.35,0.364
24.2,129,7.19,0.293
24.3,122,7.18,0.273
24.4,143,7.17,0.497
24.4,152,7.15,0.48
24.4,167,7.01,0.485
25.1,194,6.98,0.262
25.8,176,7.19,0.558
25.4,160,7.2,0.437
25.8,170,7.26,0.662
25.2,182,7.36,0.462
24.4,159,7.34,0.454
21.3,90.8,7.37,3.523
21.7,91,7.3,2.896
22.5,86.2,7.37,4.683
22.3,86.9,7.38,3.777
23.1,87.1,7.41,2.385
23.2,105,7.93,3.44
24,113,7.38,4.107
24.2,111,7.43,2.736
24.6,125,7.39,3.433
24.7,118,7.36,3.534
24.9,156,7.37,2.903
25,163,7.34,2.421
25.5,158,7.44,2.867
25.4,145,7.4,3.227
26.3,161,7.74,4.015
26.6,171,7.62,4.554
26.3,168,7.48,4.185
25.7,171,7.69,5.333
25.6,173,7.6,5.179
23.4,107,7.37,0.148
24.4,139,7.7,0.887
24.8,133,7.58,0.795
24.9,140,7.58,0.213
25.6,166,7.25,0.162
26.3,171,7.32,0.177
26.9,188,7.33,0.275
25.8,217,7.5,0.593
26,192,7.44,0.574
25.6,190,7.44,1.809
24,158,7.39,1.294
6.45,28.4,,0.00948
6.48,27.9,,0.00926
6.73,29.5,,0.0144
6.95,31.9,,0.0135
6.9,29.8,,0.0263
6.82,39,,0.0357
6.7,41.2,,0.0269
6.76,43.6,,0.0413
6.79,45.4,,0.048
6.68,48.7,,0.108
6.71,58.7,,0.0875
6.78,54.4,,0.0378
6.81,65.2,,0.0476
6.86,64.3,,0.0554
6.72,74.9,,0.0192
7.01,83,,0.0235
6.88,70.8,,0.0557
6.89,74.7,,0.0601
6.92,68.8,,0.0481
22.7,93.5,7.22,2.45
23.3,93.2,7.27,1.76
22.5,73.1,7.32,1.73
22.8,76.9,7.41,1.68
22.6,89.5,7.35,1.86
23.6,122,7.65,2.57
23.7,108,7.11,2.37
24,114,7.15,2.43
24.4,131,7.19,2.81
25.2,126,7.11,3.29
26.1,139,7.11,2.67
26.7,149,7.04,1.68
26.5,152,7.14,2.05
27.1,143,7.13,2.23
27.5,150,7.47,3.01
27.2,146,7.48,2.57
27.3,159,7.55,3.54
26.7,151,7.44,4.28
26.4,166,7.42,2.41
22.3,81.1,7.22,0.263
22.3,80.5,7.17,0.267
22.7,73.5,7.23,0.264
22.9,75.6,7.26,0.263
23.8,76.2,7.28,0.265
24.7,115,7.02,0.15
26.7,157,7.39,0.273
26.9,467,7.34,0.272
25.8,161,7.58,0.401
25.7,170,7.17,1.28
25.5,151,7.32,1.28
20.9,77.5,7.15,
21,77,7.15,
21.6,74.4,7.24,
21.9,71.1,7.22,
21.3,75.1,7.2,
22.3,79.1,7.18,
22.2,83.2,7.19,
22.3,93.2,7.3,
22.7,103,7.27,
22.7,109,7.32,
23.8,121,7.25,
23.4,129,7.24,
24.1,139,7.23,
24.5,211,7.21,
24.5,153,7.9,
23.9,173,7.81,
24.2,169,7.65,
23.5,152,7.58,
22.6,131,7.66,
20.9,61.8,6.86,0.223
20.9,61.8,6.72,0.222
21.3,58.7,6.77,0.173
20.9,61.2,6.79,0.566
21,64.2,6.87,0.446
21.3,76.5,6.75,1.27
21.4,77.7,6.92,2.5
22.1,140,7.02,1.9
22.1,92.6,6.67,1.94
22.2,83.6,6.78,1.88
22.6,95.3,7,1.8
22.5,102,6.87,2.81
23,105,6.85,2.62
23,110,6.9,2.07
23.6,107,7.4,2.09
22.9,124,7.14,1.9
23.2,127,7.1,2.37
22.8,136,7.12,2.88
22.5,137,7.3,2.13
21.3,66.2,6.84,0.123
22,65.9,6.86,0.13
22.1,64,7.04,0.129
25,89.3,6.79,0.197
23,92.2,7.05,0.129
22.9,104,7.05,0.16
23,110,6.93,0.196
23.3,123,6.99,0.424
24,125,6.96,0.128
24.2,152,7.01,0.55
23.8,160,6.99,0.556
23.9,166,7.05,0.56
25.1,203,7.2,0.217
24.5,160,7.1,0.177
24.3,171,7.16,1.35
24.5,171,7.12,1.01
23.7,176,7.11,1.02
23.1,161,7.08,0.295
22.4,86.6,7.07,0.168
23.6,108,7.2,0.12
24.9,113,7.07,0.125
25.1,141,7,0.62
25.1,163,7.03,0.642
25.1,155,7.26,0.244
25.4,157,7.21,0.245
25.2,171,7.25,0.568
24.1,188,7.11,0.596
20.1,57.4,6.65,0.575
20.3,49.9,6.72,0.595
20.1,42.7,6.59,0.603
20.2,43.4,6.73,1.48
20.6,53.5,6.68,0.839
21.7,64.5,6.88,0.883
21.8,64.8,6.9,1.03
21.9,81.6,6.95,1.04
21.9,64.8,6.96,1.05
22.2,72,6.95,0.668
22.2,84.3,6.97,0.694
22,102,7.05,0.407
22.6,106,7.09,0.412
22.9,117,7.15,0.152
23.2,123,7.45,0.494
22.6,122,7.3,0.495
22.6,120,7.26,0.484
22.1,114,7.22,0.839
21.5,72.1,6.8,0.459
20.5,72.5,6.82,0.464
21.5,66,7.04,0.467
20.9,51.4,7.12,0.681
21,65.4,6.99,0.684
21.8,72.9,7.06,0.358
22.1,80,7.07,0.469
22.4,99.6,7.08,0.47
22.4,101,7.02,0.965
22.5,102,6.99,1.58
22.9,122,7.05,4.45
23,125,7,1.31
23.2,130,7.05,1.34
23.2,129,7.03,1
23.4,142,7.05,1
23.2,134,7.04,0.898
22.9,132,7.07,0.908
22.3,148,7.13,0.909
23.8,145,6.95,2.73
21.7,86.9,6.8,0.464
22,86.8,6.72,0.717
21.7,82.8,7.02,0.719
22.8,78.6,7.1,0.523
25.3,84.5,7.13,0.678
23.9,112,7.01,0.488
24.2,125,7.07,0.679
24.6,132,7.06,0.689
24.8,147,6.93,0.692
25,154,6.97,0.518
25.1,193,7,0.524
25.5,211,6.98,0.584
25.9,212,7.09,0.45
25.7,217,7.14,0.459
26.5,219,7.07,1.91
26.2,225,7.14,2.02
26.2,217,7.18,2.13
25.5,226,7.26,0.686
25.2,209,6.97,0.689
21.3,102,6.51,0.454
21.3,102,6.45,0.419
21.8,99.5,6.75,0.417
21.4,100,6.76,0.428
21.4,100,6.98,0.432
23.3,118,6.68,0.426
24.2,123,6.67,0.425
24.7,127,6.7,0.429
24.6,149,6.62,0.422
24.8,166,6.59,0.424
26.1,195,6.68,0.309
26.5,192,6.72,0.308
26.4,196,6.77,0.312
27.1,193,6.78,0.312
26.7,197,7.06,0.241
26.3,194,7.07,0.554
26.4,177,7.09,0.738
26.2,186,7.13,0.735
25.9,190,7.12,0.736
23,106,6.21,0.408
23.9,92.2,6.29,0.406
24,99.8,6.59,0.564
24.9,92.1,6.65,0.566
24.3,96.4,6.65,0.566
24.2,110,6.48,0.665
24.4,114,6.5,0.764
24.5,119,6.56,0.766
24.8,131,6.52,0.619
24.8,130,6.53,0.859
24.7,156,6.54,0.533
24.7,174,6.58,0.544
25.2,174,6.64,0.543
25,153,6.7,1.02
25.3,154,6.71,0.535
24.7,174,6.84,0.946
24.6,162,6.85,0.972
24.5,172,6.83,0.976
23.5,145,6.9,0.472
21.2,76.5,6.77,0.371
21.5,75.1,6.65,0.363
21.6,62.7,6.85,0.411
21.7,73.6,6.95,0.253
21.5,64.9,6.92,0.318
22.6,38.2,7.09,0.31
23.3,111,7.2,0.368
23.5,115,7.03,0.276
23.8,124,7.05,0.369
24.2,131,6.87,0.298
24.4,164,6.97,0.417
24.5,177,7.02,0.03
24.7,174,7.05,0.393
24.4,165,6.9,0.345
25.3,173,7.03,0.57
24.9,177,7.06,0.625
25.2,172,7.12,0.506
24.5,155,7.02,0.639
23.3,139,7.32,0.807
16,103,6.96,0.297
16.4,100,7.07,0.205
18,97.5,7.15,0.501
18,95.6,7.31,0.377
24.1,106,6.92,0.264
23.7,110,6.91,0.485
23.9,139,6.75,0.863
24.2,137,6.84,0.213
24.5,148,6.79,0.196
25.7,160,6.82,0.237
25,174,6.95,0.165
25.1,179,6.87,0.186
26.3,155,6.93,0.329
26,173,7,0.314
27.1,171,7.02,0.457
25.5,190,7.05,0.216
24.4,167,7.06,0.312
18,92.1,5.52,0.323
18,81.3,6.24,0.398
19,75.7,6.82,0.344
19,67.2,6.74,0.29
19,73,6.67,0.446
20,78.5,6.62,0.451
21,81.1,6.63,0.529
2.1,96.2,6.44,0.899
21,101,6.56,0.62
21,109,6.42,1.28
22,125,6.5,1.11
22,121,6.74,0.577
23,122,6.71,0.648
23,130,6.85,0.583
20,123,6.95,0.584
18,129,6.97,1.02
20,127,6.94,0.919
20,125,7.04,0.685
18,126,7.07,0.795
22,75.3,6.99,0.78
22.2,127,6.94,0.16
22.2,66.1,7.04,0.156
22.2,67.9,6.81,0.148
22.1,70.8,6.73,0.23
22,84.5,7.21,0.436
22,84.6,7.28,0.377
23,96.8,7.1,0.365
22,113,7.2,0.311
22,105,7.14,0.379
25,115,7.05,0.45
25,117,6.99,0.325
25,129,6.97,0.365
25,131,7.01,0.309
25.8,128,7.11,0.482
24.8,130,7.18,0.632
25,134,7.32,0.685
23.9,130,7.2,0.511
23.5,130,7.16,0.594
21.5,63.5,7.06,0.838
21.4,65.2,7.03,0.345
22.8,58,7.07,0.319
23.6,61.7,7.05,0.291
22.4,67.8,7.08,0.28
22.9,76,7.06,0.261
22.7,80.3,6.74,0.274
22.8,89.6,6.73,0.352
22.4,109,6.84,0.444
22.4,111,6.84,0.439
22.6,125,6.85,1
24,126,6.6,0.428
24.7,120,6.73,0.451
24.5,115,6.83,0.305
24.5,124,6.81,0.562
23.6,243,6.95,0.581
24,130,6.92,0.535
23.3,123,6.99,0.463
23.3,130,6.92,0.562
21,85.8,6.54,1.25
21.3,84,6.42,1.27
22,82.9,6.54,1.6
22.2,86.3,6.57,2.26
22.2,85.1,6.56,1.34
23.2,101,6.72,1.25
24.1,115,6.75,1.41
24.7,118,6.78,1.76
25,148,6.71,1.59
24.9,176,6.67,1.95
24.9,210,6.72,2.13
25.4,206,6.87,0.745
25.2,203,6.85,1.18
25.2,211,6.72,8.95
26.2,29.2,6.79,1.35
25.9,163,6.93,1.97
26,165,6.91,2.83
25.5,183,6.89,1.41
25.4,186,6.9,1.53
16,75.9,7.33,1.29
14,73.4,7.1,0.958
18,68.4,7.09,1.12
17,65,7.08,1.68
16,72,7.05,1.53
14,82.7,7.06,1.79
14,58.9,7.07,1.06
16,86.6,7.01,1.16
16,115,6.92,1.84
18,109,6.96,1.23
16,123,7.01,1.33
23,147,7.09,0.405
22.9,167,7.29,0.406
23.1,138,6.8,0.767
23.5,136,6.87,0.636
23.6,149,7.09,0.429
24.3,139,7.1,0.415
23.7,152,7.11,0.475
23.5,138,7.09,0.558
20,95.3,7.08,0.684
20,93.2,7.01,0.349
21,88.3,7.02,0.664
21,82.3,7.03,0.732
22,83,7.03,0.986
22,102,7.09,1.06
22,93,7.1,1.03
22,97.6,7.14,1.06
22,108,7.08,1.16
21,128,7.08,1.32
21,129,7.07,1.13
24.1,141,7.13,1.21
24.9,132,7.14,1.98
24.5,130,7.15,2.96
24.7,148,7.29,0.666
24.9,157,7.22,0.773
24.5,151,7.23,0.78
24.7,155,7.37,0.804
22.7,165,7.28,1.05
17,85.2,7.12,0.405
17,78.6,7.07,0.417
18,77.7,7.07,0.291
17,78,7.08,0.224
19,85.6,7.67,0.265
21,98.2,7.51,0.303
22,108,7.54,0.294
20,109,7.46,0.351
20,137,7.28,0.447
20,157,7.22,0.31
24,181,7.23,0.225
21,191,7.23,0.201
22,186,7.27,0.638
22,175,7.28,1.02
22,154,7.27,0.927
25,105,7.12,0.136
26,113,7.07,0.251
25,117,7.08,0.249
26,128,7.1,0.337
24,166,7.03,0.253
22,196,7.2,0.548
24,209,7.21,0.624
22,197,7.26,0.927
20,205,7.35,1.34
23.7,,6.76,
23.7,,6.72,
23.7,,7.11,
24.8,,7.33,
25.6,,7.41,
25.9,,7.49,
25.5,,7.38,
25.3,,7.22,
25.3,,7.35,
25.3,,7.24,
24.8,,7.34,
25.5,,7.27,
25.8,,7.22,
27.6,,7.08,
28,,7.23,
28.1,,7.19,
28.7,,7.18,
28,,7.19,
27.7,,7.14,
24.4,106,7.03,0.498
23.1,105,6.77,0.618
25.5,90.2,7.28,0.748
28.5,90.7,7.48,1.19
24.3,88.3,7.19,1.04
24.6,91.4,7.14,1.22
26.9,92.6,7.19,1.11
22.9,102,7.09,1.7
24.4,113,7.2,1.15
25.4,111,7.26,1.64
25.3,133,7.11,1.5
24.2,151,7.38,1.33
25.4,143,7.6,1.96
26,146,7.78,2.16
24.9,139,7.45,1.88
24.4,150,7.59,2.6
23.9,197,7.41,1.77
23.3,153,7.51,1.62
22.1,147,7.64,1.9
22.2,119,6.36,0.72
21.8,94.2,7.04,0.7
28.1,93.4,7.32,0.61
24.3,94.9,7.65,0.57
32.7,95.4,7.1,0.58
24.2,99.3,6.48,0.69
24.2,104,7.09,0.63
25,110,7.24,0.62
26.2,138,7.26,0.64
25.3,158,7.07,0.59
25.2,177,7.17,1.21
26.5,187,6.82,0.35
26.5,181,6.81,0.72
27.7,183,7.26,0.49
28.6,161,7.11,1.62
25,166,7.14,1.62
26.8,156,7.04,2.65
26.2,159,7.03,3.32
25.1,167,7.02,2.62
17,79,7.48,3.03
17.8,74,7.18,1.02
19.6,77.2,7.38,1.28
18.1,74,7.37,1.35
18,77.2,7.58,1.02
20,97,7.51,0.98
19.8,100,7.49,0.92
19.3,98.8,7.52,1.38
19.4,111,7.56,1.77
19.6,120,7.33,1.4
20.2,133,7.4,1.67
25.7,141,7.46,1.68
24.5,169,7.15,2.1
24.4,148,7.65,1.58
25.5,145,7.32,1.32
24.5,151,7.06,2.44
25.7,149,7.05,1.58
24.4,171,7.06,1.22
23.4,140,7.03,1.56
20.8,65.1,7.41,1.1
21,64.4,7.4,2.35
20.7,60.4,7.37,0.5
21.5,98.4,7.54,0.61
22.3,64.1,7.68,1.77
22.6,1706,7.45,1.18
23,92.6,7.7,0.82
22.2,589,7.79,1.58
22.7,96,7.7,1.64
21.9,119,7.38,1.63
23.1,136,7.7,0.95
18.2,139,7.11,2.81
19,165,7.33,1.71
18,160,7.39,1.02
20,150,6.96,2.17
18,140,7.4,2.68
18,135,7.45,1.92
18.1,137,7.37,4.01
18,134,7.24,3.64
18.5,80,7.04,0.51
18.2,70.7,7.16,0.33
18,68,7.51,0.36
18,72.3,7.71,0.4
18.5,98.7,6.55,0.415
18,101,7.12,0.48
18.5,100,7.08,0.405
18.4,112,7.19,0.505
19,121,7.04,0.395
20,148,7.18,0.395
22,142,7.79,0.455
23,177,7.5,0.48
23,171,7.71,0.875
24,182,7.59,0.54
23,192,7.36,0.73
23,183,7.47,0.7
23,189,7.47,0.75
22,166,7.55,0.355
21.5,94.2,6.63,0.13
21.3,108,6.92,0.26
22,122,6.99,0.66
22,140,6.92,0.54
21.4,169,7.13,0.5
21,143,6.96,0.57
21.2,161,7.09,0.63
20.7,200,7.08,2.83
21,205,6.85,0.53
22,210,7.36,0.25
22,198,7.05,0.65
21,195,7.38,0.85
21,196,7.15,4.7
22,201,7.12,3.91
22,193,7.5,2.48
22,191,7.35,3.57
23,74.3,7.28,0.52
23,71.2,7.38,0.49
23,88.8,7.39,0.43
23,69.4,7.4,0.48
26,69.7,7.57,0.47
25,87.6,7.37,0.44
24,93.8,7.43,0.6
23,93.4,7.53,0.58
23,98.3,7.48,0.59
23,109,7.46,0.51
24.2,113,6.8,0.55
24.3,123,7.16,0.67
24.9,114,7,0.68
24.7,124,6.9,0.8
24.4,145,7.13,0.87
24.9,141,7.03,1.01
24.4,144,7.03,1.27
24.2,143,7.13,1.55
20.6,77.7,6.95,1.07
19,80.2,7.06,0.581
22.5,73.7,7.48,0.439
22.5,77,7.53,0.47
23,82.8,7.45,0.5
22,102,7.45,0.519
22,109,7.36,1.01
23,106,7.31,0.659
22,135,7.24,0.781
20,150,7.22,0.636
24,145,7.29,0.311
24,167,7.37,0.454
24.5,172,7.35,0.38
25,172,7.33,0.529
25.5,168,7.3,0.774
25.5,174,7.26,0.884
25,176,7.3,1.05
24,163,7.27,0.878
22,89.1,6.61,0.496
22,91.1,7.23,0.459
22,87.4,7.21,0.531
25,88.9,7.9,0.514
21.5,88.2,7.49,0.435
24,101,7.81,0.401
23.5,133,7.38,0.431
23.5,122,7.51,0.471
23.5,140,7.38,0.413
24,152,7.36,0.34
23.5,164,7.36,0.406
23.1,172,7.21,0.531
23.3,200,7.38,0.577
22.7,174,7.3,0.474
23.5,181,7.33,0.573
23.3,189,7.46,1.02
23.5,190,7.42,1.05
20.9,187,7.43,1.41
20.4,191,7.41,1.51
,,,
,,,
,,,
22.6,70.3,7.83,0.727
22.7,92.5,7.88,0.178
25,101,6.21,0.198
25,131,6.39,0.162
25,122,6.16,0.143
24,132,6.58,0.132
26,142,6.49,0.143
26,136,6.33,0.167
26,157,6.48,0.19
26,176,6.67,0.184
26,151,6.43,0.19
24,152,7.47,1.54
23,152,7.29,1.04
22,149,7.35,1.33
23,155,7.35,1.52
23,126,7.56,1.85
22,69.3,7.06,0.566
22,70.1,7.36,0.552
22,65.9,7.24,0.518
22,64.4,7.31,0.564
22,70.1,7.33,0.557
22,81.5,7.64,0.464
22,85.4,6.85,0.649
22,86.9,7.55,0.735
23,97.8,7.5,0.675
22,104,7.42,0.647
23,114,7.24,0.635
23,121,7.34,0.653
23,130,7.18,0.695
23,128,7.29,0.678
25.4,125,7.47,1.16
26.1,123,7.48,1.21
25.4,135,7.52,0.861
27,125,7.49,1.25
24.6,143,6.87,0.905
20,85.1,6.35,0.66
20,85.4,6.25,0.39
20,83.9,7.08,0.26
22,81.9,6.86,0.25
22,83.9,6.96,0.78
16,101,7.17,0.315
16,104,7.06,0.396
18,108,7.05,0.626
18,125,7.02,0.41
19,133,7.05,0.35
19,149,6.94,0.32
20,153,7.03,0.27
20,174,7.08,0.33
20,166,7.04,0.29
25,166,7.28,0.41
26,176,7.62,0.43
26,184,7.26,0.63
25,189,7.42,0.76
26,199,7.41,1.16
23.5,111,7.06,0.572
23.6,145,7.16,0.247
22.3,110,7.28,0.68
24,124,7.87,1.09
23,130,7.64,0.709
24,135,7.66,0.816
25,150,7.78,1.68
26,155,7.33,1.09
26,184,7.03,1.4
27,202,7.05,0.348
26,205,7.16,1.46
26,186,7.16,0.678
25.1,171,7.45,1.87
23.8,180,7.48,1.48
24.3,171,7.34,2.02
24.3,174,7.44,1.28
23.5,159,7.55,1.27
25.5,112,7.07,0.346
24.3,87,7.12,0.355
24.7,92.8,7.34,0.334
25.7,81.6,7.38,0.382
25.4,82.2,7.31,0.379
25.6,87.5,7.33,0.42
24.9,88.3,7.28,0.422
24.6,92.8,7.25,0.485
24.6,108,7.16,0.43
24.1,143,6.98,0.438
25,121,6.83,0.429
23,120,6.94,0.434
23,147,6.98,0.509
23,129,7.02,0.5
23,167,7.05,0.6
24,137,6.92,0.784
23,129,7.03,0.957
23,136,7.06,1.05
20,171,6.94,0.966
26.6,129,7.5,0.284
23.8,105,7.21,0.31
24.2,145,7.43,0.315
24.4,110,7.14,0.36
24.7,130,7.11,0.33
25.5,133,7.08,0.407
25.3,144,7,0.333
25.7,155,7.02,0.299
26.2,147,7.08,0.382
26.2,147,7.11,0.385
28,140,7.25,0.526
25.5,148,7.22,0.516
25.1,135,7.25,0.855
24.8,137,7.28,0.816
24.7,127,7.45,0.972
23,65.1,7.44,0.316
23,64.1,7.41,0.305
23,59.6,7.71,0.292
23,60.7,7.75,0.291
23,62.9,7.84,0.31
22,79.1,7.54,0.316
22,86.4,7.49,0.344
22,97.9,7.21,0.313
21,102,7.3,0.352
21,101,7.14,0.383
22,114,7.33,0.42
22.5,125,7.49,0.391
22.3,162,7.51,0.856
21.8,151,7.44,0.559
22.2,233,7.6,0.247
20.3,125,7.4,0.302
21.2,129,7.43,0.459
20.5,144,7.32,0.602
22.2,126,5.32,0.479
21.2,94.8,6.77,0.358
21.5,88.4,6.71,0.351
21.9,86.4,6.88,0.337
22.4,86.5,6.88,0.344
24.1,89.4,7.24,0.355
28,110,7.2,0.368
23.8,97.9,7.24,0.355
23.9,103,7.16,0.372
23,114,6.41,0.379
24,116,6.96,0.384
23.7,131,6.96,0.387
24,131,7.48,0.39
26,141,7.32,0.475
26,145,7.26,0.532
25,151,7.4,0.627
25,159,7.28,0.658
23,148,7.28,0.741
19,153,7.54,0.868
