Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
24,149.2,6.8,0.52
14,94.3,6.1,0.125
14,104.6,6.3,0.125
20.3,79.8,5.3,0.014
15,72,6.9,0.147
20.4,62,6.06,0.081
23,87,7,0.014
0,103.2,6.8,0.076
22,111.1,6.8,0.195
21,123.7,6.6,0.269
20,111.6,7.2,0.299
24,153,6.8,0.166
24.5,161.6,7.5,0.28
25,150,6.9,0.284
25,155,6.8,0.354
26,145.87,7.7,0.351
18,128,5.98,0.2511
21,74.5,6.5,0.166
21,73.4,6.8,0.151
20.5,69.9,7,0.133
21,73.4,7,0.118
18,89.6,7.1,0.089
18,94.3,7.2,0.066
18,190.5,6.8,0.174
16,115,6.7,0.089
24,113.2,7.3,0.314
24,122.6,7.2,0.166
24,122.6,7.1,0.155
25,141.4,7.2,0.174
25,122.6,7.2,0.118
18,142.8,7.3,0.181
18,137.7,7.6,0.318
18,158.1,7.1,0.159
18,137.7,7.8,0.181
18,132.6,7.7,0.329
12,87.25,6.2,0.148
14,59.79,7,0.114
16,77.84,7,0.192
,80.44,7.3,0.1
16,98.9,6.4,0.214
17,109.9,7.2,0.225
16,219.8,6.8,0.207
20,118.3,7,0.196
20,122.4,6.9,0.081
20,130.6,6.9,0.129
16,159.6,6.9,0.199
16,170.2,7,0.181
15,189.54,7,0.233
15,159.6,7.5,0.417
16,163.2,7,0.17
16,173.4,7,0.303
16,173.4,7.5,0.391
16,173.4,7.9,0.358
16,163.2,7.6,0.502
14,102,6.7,0.202
14,102,6.8,0.177
16,102,7.8,0.13
14,102,6.7,0.294
15,102,7,0.195
16,111.1,6.8,0.217
20,343.4,7.1,0.075
18,112.2,7.2,0.0213
,163.2,6.5,0.181
8,142.8,6.7,0.177
20,142.8,6.9,0.235
21,141.4,6.8,0.239
21,141.4,7.2,0.308
22,173.4,6.9,0.246
,166.4,7,0.159
,166.4,7.4,0.341
,180,7.3,0.432
,166.4,6.8,0.669
,186,7.3,0.414
,127.7,6.1,0.086
,126.4,6,0.068
15,127.7,6.6,0.097
,104.3,6.8,0.119
15,85.3,7.2,0.173
15,138.3,7.1,0.195
,157.9,7.1,0.177
18,110.2,7.1,0.316
20,163.2,4.1,0.2
20,122.4,7.3,0.232
18,142.8,7.3,0.297
18,204,6.9,0.268
18,153,7.2,0.297
18,142.8,7,0.228
18,159.6,7,0.275
18,179,7.4,0.254
17,179,7.4,0.48
16,212.8,7.1,0.297
16,187.7,7,0.44
,727.2,7.1,0.06
18,112.2,6.9,0.312
18,122.4,7,0.275
20,105.6,6.7,0.24
20,86.2,6.8,0.24
18,84.2,7.1,0.16
