DEPARTAMENTO,MUNICIPIO,Muestras Evaluadas,Muestras Tratadas,Muestras Sin Tratamiento,IRCA MÍnimo,IRCA Máximo,IRCA Promedio,NUMERO PARAMETROS MÍnimo,NUMERO PARAMETROS Máximo,NUMERO PARAMETROS Promedio,Alcanilidad Total Número Muestras,Alcanilidad Total No Aptas,Alcanilidad Total % No Aptas,Alcanilidad Total MÍnimo,Alcanilidad Total Máximo,Alcanilidad Total Promedio,Aluminio Número Muestras,Aluminio No Aptas,Aluminio % No Aptas,Aluminio MÍnimo,Aluminio Máximo,Aluminio Promedio,Cloro residual libre Número Muestras,Cloro residual libre No Aptas,Cloro residual libre % No Aptas,Cloro residual libre MÍnimo,Cloro residual libre Máximo,Cloro residual libre Promedio,Cloruros Número Muestras,Cloruros No Aptas,Cloruros % No Aptas,Cloruros MÍnimo,Cloruros Máximo,Cloruros Promedio,Coliformes totales Número Muestras,Coliformes totales No Aptas,Coliformes totales % No Aptas,Coliformes totales MÍnimo,Coliformes totales Máximo,Coliformes totales Promedio,Color aparente Número Muestras,Color aparente No Aptas,Color aparente % No Aptas,Color aparente MÍnimo,Color aparente Máximo,Color aparente Promedio,Conductividad Número Muestras,Conductividad No Aptas,Conductividad % No Aptas,Conductividad MÍnimo,Conductividad Máximo,Conductividad Promedio,COT Número Muestras,COT No Aptas,COT % No Aptas,COT MÍnimo,COT Máximo,COT Promedio,Cryptosporidium Número Muestras,Cryptosporidium No Aptas,Cryptosporidium % No Aptas,Cryptosporidium MÍnimo,Cryptosporidium Máximo,Cryptosporidium Promedio,Dureza total Número Muestras,Dureza total No Aptas,Dureza total % No Aptas,Dureza total MÍnimo,Dureza total Máximo,Dureza total Promedio,E.coli Número Muestras,E.coli No Aptas,E.coli % No Aptas,E.coli MÍnimo,E.coli Máximo,E.coli Promedio,Fluoruros Número Muestras,Fluoruros No Aptas,Fluoruros % No Aptas,Fluoruros MÍnimo,Fluoruros Máximo,Fluoruros Promedio,Giardia Número Muestras,Giardia No Aptas,Giardia % No Aptas,Giardia MÍnimo,Giardia Máximo,Giardia Promedio,Hierro total Número Muestras,Hierro total No Aptas,Hierro total % No Aptas,Hierro total MÍnimo,Hierro total Máximo,Hierro total Promedio,Nitritos Número Muestras,Nitritos No Aptas,Nitritos % No Aptas,Nitritos MÍnimo,Nitritos Máximo,Nitritos Promedio,Olor Número Muestras,Olor No Aptas,Olor % No Aptas,Olor MÍnimo,Olor Máximo,Olor Promedio,ph Número Muestras,ph No Aptas,ph % No Aptas,ph MÍnimo,ph Máximo,ph Promedio,Sabor Número Muestras,Sabor No Aptas,Sabor % No Aptas,Sabor MÍnimo,Sabor Máximo,Sabor Promedio,Sulfatos Número Muestras,Sulfatos No Aptas,Sulfatos % No Aptas,Sulfatos MÍnimo,Sulfatos Máximo,Sulfatos Promedio,Turbiedad Número Muestras,Turbiedad No Aptas,Turbiedad % No Aptas,Turbiedad MÍnimo,Turbiedad Máximo,Turbiedad Promedio
Caldas 2016,Aguadas,1124,326,798,0,98.06,63.94,9,17,10,19,0,0,6.9,11.6,9.39,1,0,0,0.02,0.02,0.02,107,88,82.24,0.1,1.67,0.3,19,0,0,0,2.8,1.27,107,88,82.24,0,2419.2,1476.63,107,30,28.04,1,316,20.27,107,0,0,7.39,753,159.74,23,4,17.39,0,19.4,3.56,0,0,0,-,-,-,19,0,0,5.1,22.3,9.7,107,87,81.31,0,2419.2,262.47,23,0,0,0.04,0.31,0.12,0,0,0,-,-,-,19,0,0,0,0.22,0.07,19,0,0,0,0,0,107,0,0,0,0,0,107,1,0.93,6.01,8.8,7.7,107,0,0,0,0,0,19,0,0,0,26,2.74,107,24,22.43,0.09,67,2.8
Caldas 2016,Anserma,1270,529,741,0,98.06,47.77,2,17,9,32,0,0,12.3,30.8,18.65,4,2,50,0.13,0.41,0.25,109,77,70.64,0.1,1.7,0.48,32,0,0,0,6.74,2.85,131,78,59.54,0,2419.2,1065.87,110,36,32.73,0,755,31.75,110,0,0,20.47,315,115.77,21,1,4.76,0,5.5,2.18,1,0,0,0,0,0,32,0,0,11.7,32.4,18.83,131,77,58.78,0,2419.2,209.08,21,0,0,0.02,0.12,0.08,1,0,0,0,0,0,32,0,0,0,0.16,0.04,32,0,0,0,0.01,0,110,0,0,0,0,0,110,0,0,6.8,8.82,7.78,110,0,0,0,0,0,31,0,0,0,18,0.84,110,28,25.45,0.09,111,4.15
Caldas 2016,Aranzazu,915,228,687,0,98.06,66.18,8,17,10,13,0,0,10.2,74.5,24.75,0,0,0,-,-,-,87,76,87.36,0.25,1.67,0.35,13,0,0,0,3.83,1.5,88,77,87.5,0,2419.2,1734.67,88,34,38.64,1,174,22.78,88,0,0,25.29,373,130.38,23,4,17.39,0.5,14.2,3.66,0,0,0,-,-,-,13,0,0,15.5,32.6,21.74,88,75,85.23,0,2419.2,378.51,23,0,0,0.04,0.36,0.11,0,0,0,-,-,-,13,0,0,0,0.16,0.06,13,0,0,0,0,0,88,0,0,0,0,0,88,1,1.14,6.49,8.61,7.65,88,0,0,0,0,0,13,0,0,0,30,9.92,88,13,14.77,0.1,16.3,1.52
Caldas 2016,Belalcázar,885,236,649,0,98.06,67.3,9,17,10,13,0,0,12.8,108.4,38.32,1,0,0,0.07,0.07,0.07,86,75,87.21,0.25,1.39,0.34,13,0,0,0.99,6.24,3.08,86,75,87.21,0,2419.2,1957.28,86,28,32.56,0,252,20.77,86,0,0,35,326,223.27,16,5,31.25,0.5,14.4,5.04,0,0,0,-,-,-,13,0,0,18,119.21,41.99,86,73,84.88,0,2419.2,422.56,16,0,0,0.02,0.11,0.07,0,0,0,-,-,-,13,0,0,0,0.08,0.04,13,0,0,0,0,0,86,0,0,0,0,0,86,0,0,7.1,8.74,8.07,86,0,0,0,0,0,13,0,0,0,22,3.38,86,19,22.09,0,35.7,2.61
Caldas 2016,Chinchiná,971,705,266,0,98.06,21.56,2,17,9,41,0,0,7.18,89.4,62.09,6,1,16.67,0.07,0.21,0.12,71,29,40.85,0.1,1.72,0.79,41,0,0,0.99,13.93,7.88,100,28,28,0,2419.2,529.61,71,15,21.13,0,2050,41.79,71,0,0,15.19,251.4,166.93,10,3,30,0,11.1,3.7,1,0,0,0,0,0,41,0,0,32.5,85.9,67.42,100,23,23,0,2419.2,168.98,11,0,0,0.03,0.2,0.1,1,0,0,0,0,0,41,0,0,0,0.15,0.05,40,0,0,0,0.02,0,71,0,0,0,0,0,71,0,0,7.07,8.36,7.82,71,0,0,0,0,0,41,0,0,1,36,12.83,71,11,15.49,0.11,405,7.09
Caldas 2016,Filadelfia,773,241,532,0,98.06,62.45,9,17,10,9,0,0,44.9,79.9,69.68,1,0,0,0.08,0.08,0.08,76,66,86.84,0.01,1.4,0.23,9,0,0,0,4.96,2.46,76,66,86.84,0,2419.2,1477.14,76,14,18.42,0,268,13.62,76,0,0,13.31,444,255.25,17,6,35.29,0.9,19,4.89,0,0,0,-,-,-,9,0,0,69.4,99.6,88.86,76,62,81.58,0,2419.2,316.47,17,0,0,0.05,0.44,0.12,0,0,0,-,-,-,9,0,0,0.01,0.03,0.02,9,0,0,0,0,0,76,0,0,0,0,0,76,0,0,7.03,8.85,7.94,76,0,0,0,0,0,9,0,0,0,62,25.89,76,6,7.89,0.06,29.6,1.09
Caldas 2016,La Dorada,683,555,128,0,98.06,14.16,2,17,9,32,0,0,13.5,60.9,32.46,4,0,0,0.04,0.13,0.08,48,12,25,0.25,1.9,0.86,32,0,0,1.45,10.53,6.7,70,13,18.57,0,2419.2,240.3,48,9,18.75,1,367,22.9,48,0,0,7.09,332,138.39,5,0,0,0,4.3,1.3,1,0,0,0,0,0,32,0,0,20.6,44,33.87,70,8,11.43,0,2419.2,52.26,5,0,0,0.04,0.37,0.15,1,0,0,0,0,0,32,0,0,0,0.16,0.04,32,0,0,0,0.01,0,48,0,0,0,0,0,48,0,0,6.68,8.31,7.5,47,0,0,0,0,0,32,0,0,3,37,8.88,48,9,18.75,0.18,57.4,3.29
Caldas 2016,La Merced,463,197,266,0,98.06,52.91,9,17,11,13,0,0,35.2,60.2,48.11,1,0,0,0.2,0.2,0.2,41,29,70.73,0.01,1.39,0.43,13,0,0,0,3.47,1.57,41,29,70.73,0,2419.2,1556.33,41,9,21.95,2,410,21.39,41,0,0,13.06,472,162.2,8,4,50,0.1,19,7.49,0,0,0,-,-,-,13,0,0,36.8,57.93,47.88,41,28,68.29,0,2419.2,536.16,8,0,0,0.09,0.18,0.13,0,0,0,-,-,-,13,1,7.69,0,0.45,0.07,13,0,0,0,0,0,41,0,0,0,0,0,41,0,0,7.13,8.65,7.85,41,0,0,0,0,0,12,0,0,3,32,7.92,41,5,12.2,0.12,51.1,2.44
Caldas 2016,Manzanares,1229,319,910,0,98.06,59.75,9,17,10,21,0,0,9.7,16.6,11.78,0,0,0,-,-,-,121,100,82.64,0.1,1.13,0.34,21,0,0,0,11.06,1.05,121,100,82.64,0,2419.2,1226.62,121,8,6.61,1,42,7.36,121,0,0,8.96,83.8,22.58,7,1,14.29,0.5,17.6,3.31,0,0,0,-,-,-,21,0,0,5.8,25.4,8.59,121,99,81.82,0,2419.2,286.44,7,0,0,0.02,0.2,0.06,0,0,0,-,-,-,21,0,0,0,0.12,0.03,21,0,0,0,0,0,121,0,0,0,0,0,121,1,0.83,6.72,10.16,7.57,121,0,0,0,0,0,21,0,0,0,4,0.43,121,6,4.96,0.08,11,0.64
Caldas 2016,Marmato,563,185,378,0,98.06,64.01,9,18,10,12,0,0,14.9,27.9,23.26,1,0,0,0.13,0.13,0.13,54,44,81.48,0.05,0.87,0.29,12,0,0,0,1.49,0.65,54,44,81.48,0,2419.2,1854.67,54,19,35.19,2,234,22.96,54,0,0,9.64,602,109.45,1,0,0,2.1,2.1,2.1,1,0,0,0,0,0,12,0,0,14.87,33.8,22.36,54,42,77.78,0,2419.2,428.57,1,0,0,0.05,0.05,0.05,1,0,0,0,0,0,12,0,0,0,0.16,0.05,12,0,0,0,0.01,0,54,0,0,0,0,0,54,0,0,6.72,8.57,7.6,54,0,0,0,0,0,12,0,0,0,7,0.92,54,14,25.93,0.16,36.9,3.08
