DEPARTAMENTO,MUNICIPIO,Muestras Evaluadas,Muestras Tratadas,Muestras Sin Tratamiento,IRCA MÍnimo,IRCA Máximo,IRCA Promedio,NUMERO PARAMETROS MÍnimo,NUMERO PARAMETROS Máximo,NUMERO PARAMETROS Promedio,Alcanilidad Total Número Muestras,Alcanilidad Total No Aptas,Alcanilidad Total % No Aptas,Alcanilidad Total MÍnimo,Alcanilidad Total Máximo,Alcanilidad Total Promedio,Aluminio Número Muestras,Aluminio No Aptas,Aluminio % No Aptas,Aluminio MÍnimo,Aluminio Máximo,Aluminio Promedio,Cloro residual libre Número Muestras,Cloro residual libre No Aptas,Cloro residual libre % No Aptas,Cloro residual libre MÍnimo,Cloro residual libre Máximo,Cloro residual libre Promedio,Cloruros Número Muestras,Cloruros No Aptas,Cloruros % No Aptas,Cloruros MÍnimo,Cloruros Máximo,Cloruros Promedio,Coliformes totales Número Muestras,Coliformes totales No Aptas,Coliformes totales % No Aptas,Coliformes totales MÍnimo,Coliformes totales Máximo,Coliformes totales Promedio,Color aparente Número Muestras,Color aparente No Aptas,Color aparente % No Aptas,Color aparente MÍnimo,Color aparente Máximo,Color aparente Promedio,Conductividad Número Muestras,Conductividad No Aptas,Conductividad % No Aptas,Conductividad MÍnimo,Conductividad Máximo,Conductividad Promedio,COT Número Muestras,COT No Aptas,COT % No Aptas,COT MÍnimo,COT Máximo,COT Promedio,Cryptosporidium Número Muestras,Cryptosporidium No Aptas,Cryptosporidium % No Aptas,Cryptosporidium MÍnimo,Cryptosporidium Máximo,Cryptosporidium Promedio,Dureza total Número Muestras,Dureza total No Aptas,Dureza total % No Aptas,Dureza total MÍnimo,Dureza total Máximo,Dureza total Promedio,E.coli Número Muestras,E.coli No Aptas,E.coli % No Aptas,E.coli MÍnimo,E.coli Máximo,E.coli Promedio,Fluoruros Número Muestras,Fluoruros No Aptas,Fluoruros % No Aptas,Fluoruros MÍnimo,Fluoruros Máximo,Fluoruros Promedio,Giardia Número Muestras,Giardia No Aptas,Giardia % No Aptas,Giardia MÍnimo,Giardia Máximo,Giardia Promedio,Hierro total Número Muestras,Hierro total No Aptas,Hierro total % No Aptas,Hierro total MÍnimo,Hierro total Máximo,Hierro total Promedio,Nitritos Número Muestras,Nitritos No Aptas,Nitritos % No Aptas,Nitritos MÍnimo,Nitritos Máximo,Nitritos Promedio,Olor Número Muestras,Olor No Aptas,Olor % No Aptas,Olor MÍnimo,Olor Máximo,Olor Promedio,ph Número Muestras,ph No Aptas,ph % No Aptas,ph MÍnimo,ph Máximo,ph Promedio,Sabor Número Muestras,Sabor No Aptas,Sabor % No Aptas,Sabor MÍnimo,Sabor Máximo,Sabor Promedio,Sulfatos Número Muestras,Sulfatos No Aptas,Sulfatos % No Aptas,Sulfatos MÍnimo,Sulfatos Máximo,Sulfatos Promedio,Turbiedad Número Muestras,Turbiedad No Aptas,Turbiedad % No Aptas,Turbiedad MÍnimo,Turbiedad Máximo,Turbiedad Promedio
Caldas 2016,Marquetalia,703,138,565,0,98.06,64.93,8,17,10,9,0,0,19.8,34.1,29.76,1,0,0,0.03,0.03,0.03,68,59,86.76,0.1,1.39,0.36,9,0,0,0,5.49,1.87,69,60,86.96,0,2419.2,2087.43,69,15,21.74,1,39,11.88,69,0,0,21.3,311,44.95,14,0,0,0.6,3.2,1.94,0,0,0,-,-,-,9,0,0,22,46,29.29,69,60,86.96,0,2419.2,534.71,14,0,0,0.01,0.07,0.03,0,0,0,-,-,-,9,0,0,0.01,0.09,0.04,9,0,0,0,0.01,0,69,0,0,0,0,0,69,0,0,6.83,8.37,7.51,69,0,0,0,0,0,9,0,0,0,28,3.22,69,8,11.59,0.08,7.7,1.13
Caldas 2016,Marulanda,287,173,114,0,98.06,42.73,9,17,11,10,0,0,9.5,45.9,22.5,1,0,0,0,0,0,24,13,54.17,0.07,1.4,0.47,10,0,0,0,2.94,1.07,24,13,54.17,0,2419.2,536.18,24,11,45.83,1,264,34.08,24,0,0,12.49,163,68.63,5,1,20,0,16.6,5.1,0,0,0,-,-,-,10,0,0,8.5,35.1,18.83,24,12,50,0,2419.2,115.12,5,0,0,0.04,0.1,0.07,0,0,0,-,-,-,10,0,0,0,0.12,0.05,10,0,0,0,0,0,24,0,0,0,0,0,24,0,0,7.2,8.59,7.63,24,0,0,0,0,0,10,0,0,0,3,1.1,24,3,12.5,0.09,46.67,2.63
Caldas 2016,Neira,912,360,552,0,98.06,56.11,9,17,10,21,0,0,20.1,35.5,26.47,3,2,66.67,0.15,0.4,0.26,85,60,70.59,0.1,1.37,0.39,21,0,0,0,5.21,2.09,85,60,70.59,0,2419.2,1218.56,85,35,41.18,0,608,28.78,85,0,0,17.85,446,156.78,7,1,14.29,0.4,5.6,2.27,1,0,0,0,0,0,21,0,0,12.6,33.4,25.67,85,60,70.59,0,2419.2,275.75,9,0,0,0.02,1,0.28,1,0,0,0,0,0,21,0,0,0.01,0.16,0.06,21,0,0,0,0.04,0,85,0,0,0,0,0,85,0,0,6.54,8.86,7.81,85,0,0,0,0,0,21,0,0,1,14,6.62,85,13,15.29,0.09,99,2.81
Caldas 2016,Norcasia,381,153,228,0,93.25,52.11,9,18,11,10,0,0,7.8,15.9,12.84,1,0,0,0,0,0,34,24,70.59,0.1,1.5,0.46,10,0,0,0,2.16,0.76,34,24,70.59,0,2419.2,1530.8,34,6,17.65,0,49,9.03,34,0,0,4.23,301,28.47,7,0,0,0,3.4,1.14,0,0,0,-,-,-,10,0,0,7.3,15.8,11.21,34,24,70.59,0,2419.2,368.8,7,0,0,0.02,0.05,0.03,0,0,0,-,-,-,10,0,0,0,0.03,0.01,10,0,0,0,0,0,34,0,0,0,0,0,34,4,11.76,6.17,7.87,6.98,34,0,0,0,0,0,10,0,0,0,28,3.35,34,2,5.88,0.07,4.12,0.67
Caldas 2016,Pácora,841,521,320,0,98.06,34.16,9,17,10,15,0,0,25.7,60.6,42.58,1,0,0,0.02,0.02,0.02,80,35,43.75,0.25,1.86,0.64,15,0,0,0,4.75,1.45,80,40,50,0,2419.2,800.8,80,8,10,0,143,9,80,0,0,54.9,334,127.62,15,0,0,0.9,4.2,2.37,0,0,0,-,-,-,15,0,0,26.8,49.5,40.91,80,36,45,0,2419.2,89.1,15,0,0,0.03,0.3,0.09,0,0,0,-,-,-,15,0,0,0.02,0.14,0.06,15,0,0,0,0,0,80,0,0,0,0,0,80,0,0,7.2,8.41,7.9,80,0,0,0,0,0,15,0,0,0,13,1.47,80,5,6.25,0.08,23.5,1.11
Caldas 2016,Palestina,676,540,136,0,98.06,24.71,9,17,13,33,0,0,25.8,158.1,85.93,5,0,0,0.01,0.05,0.03,50,16,32,0.04,1.9,0.79,34,0,0,0,14.78,7.31,50,15,30,0,2419.2,584.69,50,10,20,0,590,22.52,50,0,0,22.5,333,239.05,8,1,12.5,1.9,7.2,3.78,0,0,0,-,-,-,33,0,0,47.8,133.7,90.69,50,13,26,0,2419.2,197.66,11,0,0,0.05,0.52,0.12,0,0,0,-,-,-,34,1,2.94,0,0.31,0.05,34,0,0,0,0,0,50,0,0,0,0,0,50,0,0,6.8,8.78,8.01,50,0,0,0,0,0,34,0,0,0,34,11.47,50,8,16,0.11,81.5,2.71
Caldas 2016,Pensilvania,790,196,594,0,98.06,59.08,9,16,10,10,0,0,8.1,11.7,9.68,1,0,0,0.17,0.17,0.17,79,66,83.54,0.1,1.5,0.27,10,0,0,0,3.19,1.09,79,66,83.54,0,2419.2,1337.52,79,12,15.19,1,195,11.91,79,0,0,4.5,73.6,21.35,9,0,0,0.1,4.6,2.08,0,0,0,-,-,-,10,0,0,6.2,8,7.39,79,60,75.95,0,2419.2,332.4,9,0,0,0.02,0.1,0.05,0,0,0,-,-,-,10,0,0,0.01,0.05,0.03,10,0,0,0,0,0,79,0,0,0,0,0,79,4,5.06,5.88,8.5,7.22,79,0,0,0,0,0,10,0,0,0,1,0.1,79,6,7.59,0.07,38,1.19
Caldas 2016,Riosucio,1213,552,661,0,98.06,47.16,2,17,9,29,0,0,18.9,33.5,26.87,3,0,0,0.05,0.15,0.09,108,79,73.15,0.01,1.78,0.46,29,0,0,0,5.39,1.44,126,77,61.11,0,2419.2,1262.49,108,28,25.93,1,360,15.72,108,0,0,20.92,217.9,95.3,13,0,0,0.1,4.4,1.82,1,0,0,0,0,0,29,0,0,17.8,46,28,126,77,61.11,0,2419.2,280.36,13,0,0,0.02,0.09,0.07,1,0,0,0,0,0,29,0,0,0,0.21,0.06,29,0,0,0,0.01,0,108,0,0,0,0,0,108,0,0,6.63,8.49,7.72,108,0,0,0,0,0,29,0,0,0,38,7.03,108,14,12.96,0.11,64.2,1.76
Caldas 2016,Risaralda,652,179,473,0,98.06,58.75,9,17,10,11,0,0,15.8,75.8,25.23,1,1,100,0.39,0.39,0.39,63,52,82.54,0.1,1.5,0.41,11,0,0,1.77,9,4.92,63,51,80.95,0,2419.2,1712.37,63,10,15.87,0,165,12.94,63,0,0,11.9,252.2,131.24,8,3,37.5,1.9,8.8,4.63,1,0,0,0,0,0,11,0,0,17.6,87.8,28.44,63,48,76.19,0,2419.2,432.58,8,0,0,0.03,0.09,0.05,1,0,0,0,0,0,11,0,0,0,0.05,0.03,11,0,0,0,0.01,0,63,0,0,0,0,0,63,0,0,7.09,9,7.8,63,0,0,0,0,0,11,0,0,0,12,1.45,63,5,7.94,0.11,21.1,1.34
Caldas 2016,Salamina,857,333,524,0,98.06,54.23,9,17,10,24,0,0,14,61.4,52.72,1,0,0,0.08,0.08,0.08,78,56,71.79,0.1,1.25,0.38,24,0,0,0,5.85,2.67,78,56,71.79,0,2419.2,1464.84,78,19,24.36,0,524,20.92,78,1,1.28,32,1112,172.37,5,2,40,2.4,8,4.98,0,0,0,-,-,-,24,0,0,16.6,61.4,55.33,78,54,69.23,0,2419.2,430.6,5,0,0,0.08,0.14,0.12,0,0,0,-,-,-,24,0,0,0,0.08,0.03,24,0,0,0,0,0,78,0,0,0,0,0,78,1,1.28,6.44,8.63,7.82,78,0,0,0,0,0,24,0,0,2,31,9.58,78,10,12.82,0.11,91,2.34
Caldas 2016,Samaná,863,268,595,0,98.06,57.68,9,17,10,17,0,0,4.3,13.3,8.66,1,0,0,0,0,0,82,66,80.49,0.1,1.2,0.32,17,0,0,0,4.04,1.35,82,66,80.49,0,2419.2,1337.93,82,7,8.54,1,42,6.91,82,0,0,3.24,53.7,18.39,10,0,0,0,2,0.69,1,0,0,0,0,0,17,0,0,3.8,16.4,8.11,82,65,79.27,0,2419.2,150.74,10,0,0,0.02,0.07,0.05,1,0,0,0,0,0,17,0,0,0,0.3,0.05,17,0,0,0,0.07,0.01,82,0,0,0,0,0,82,5,6.1,5.81,8.03,7.28,82,0,0,0,0,0,17,0,0,0,11,0.65,82,3,3.66,0.09,3.63,0.56
Caldas 2016,San José,718,454,264,0,98.06,62.18,4,17,10,12,0,0,14.4,96.4,26.75,1,0,0,0.02,0.02,0.02,69,58,84.06,0.1,1.09,0.33,12,0,0,0,7.44,3.39,70,59,84.29,0,2419.2,1798.33,69,9,13.04,0,41,7.8,69,0,0,40.5,291.2,187.58,11,3,27.27,0.2,12.2,4.11,0,0,0,-,-,-,12,0,0,14.9,108.7,28.75,70,58,82.86,0,2419.2,347.53,11,0,0,0.02,0.08,0.05,0,0,0,-,-,-,12,0,0,0,0.07,0.03,12,0,0,0,0,0,69,0,0,0,0,0,69,0,0,7.04,8.7,7.83,69,0,0,0,0,0,12,0,0,0,19,2.17,69,7,10.14,0,4.18,0.69
Caldas 2016,Supía,1042,360,682,0,98.06,59.45,9,17,10,23,0,0,24.7,59.2,46.38,4,0,0,0.06,0.16,0.09,96,73,76.04,0.1,1.68,0.31,23,0,0,0,7.98,4.2,96,73,76.04,0,2419.2,1688.22,96,31,32.29,1,920,46.9,96,0,0,23.73,330,150,18,3,16.67,0,18.7,3.33,0,0,0,-,-,-,23,0,0,35.36,104.73,56.09,96,71,73.96,0,2419.2,507.51,18,0,0,0.04,0.24,0.13,0,0,0,-,-,-,23,0,0,0,0.16,0.04,23,0,0,0,0,0,96,0,0,0,0,0,96,1,1.04,6.55,9.18,7.85,96,0,0,0,0,0,23,0,0,4,27,13.57,96,21,21.88,0.15,127,6.37
Caldas 2016,Victoria,574,179,395,0,98.06,66.31,9,17,10,11,0,0,6.3,24.3,13.11,1,0,0,0,0,0,55,44,80,0.25,1,0.36,11,0,0,0,3.12,1.27,55,44,80,0,2419.2,1603.29,55,28,50.91,1,171,28.02,55,0,0,4.8,385,56.28,5,2,40,0.3,10.5,4.22,1,0,0,0,0,0,11,0,0,6.9,15.9,11.46,55,43,78.18,0,2419.2,384.52,5,0,0,0.04,0.19,0.1,1,0,0,0,0,0,11,0,0,0.02,0.13,0.06,11,0,0,0,0,0,55,0,0,0,0,0,55,1,1.82,6.24,8.28,7.28,55,0,0,0,0,0,11,0,0,0,11,1.27,55,18,32.73,0.11,27.1,3.81
Caldas 2016,Villamaría,1359,513,846,0,98.06,49.66,2,17,9,31,0,0,9.1,42.4,30.52,4,0,0,0.02,0.16,0.07,121,91,75.21,0.1,1.8,0.44,31,0,0,0,7.05,3.46,141,89,63.12,0,2419.2,1207.01,121,40,33.06,1,309,23.91,121,0,0,27.44,395,174.5,19,4,21.05,0.4,10.6,3.63,1,0,0,0,0,0,31,0,0,29.2,71.8,58.89,141,88,62.41,0,2419.2,329.44,19,0,0,0.08,0.27,0.15,1,0,0,0,0,0,31,1,3.23,0.01,0.44,0.12,31,0,0,0,0,0,121,0,0,0,0,0,121,0,0,6.68,8.7,7.78,121,0,0,0,0,0,31,0,0,0,72,31.9,121,22,18.18,0.08,47.2,2.27
Caldas 2016,Viterbo,565,334,231,0,98.06,42.45,9,17,12,22,0,0,54.3,104.9,84.55,2,0,0,0.14,0.2,0.17,47,25,53.19,0,1.49,0.7,22,0,0,1.06,12.05,6.87,47,25,53.19,0,2419.2,1223.17,47,12,25.53,0,303,19.64,47,0,0,113.7,508,228,4,1,25,0,17.5,5.6,0,0,0,-,-,-,22,0,0,66.5,108.1,92.3,47,25,53.19,0,2419.2,211.51,4,0,0,0.1,0.21,0.16,0,0,0,-,-,-,22,0,0,0,0.06,0.03,22,0,0,0,0.01,0,47,0,0,0,0,0,47,0,0,7.09,8.66,8.09,47,0,0,0,0,0,22,0,0,4,28,12.09,47,7,14.89,0.13,63.4,2.79
Caldas 2017,Manizales,2636,2040,596,0,98.06,24.48,2,16,9,117,2,1.71,0,253.9,29.8,-,-,-,-,-,-,200,77,38.5,0,3,0.7,113,0,0,0.39,21.62,6.57,266,74,27.82,0,2419.2,506.27,200,63,31.5,1,321,19.64,200,0,0,2.72,582,154.63,6,0,0,0,3,1.22,0,0,0,-,-,-,113,0,0,8.2,144.3,46.35,266,70,26.32,0,2419.2,68.07,-,-,-,-,-,-,0,0,0,-,-,-,119,5,4.2,0.01,1.21,0.13,121,0,0,0,0.1,0,200,0,0,0,0,0,200,2,1,4.73,8.56,7.42,200,0,0,0,0,0,115,0,0,0,40,22.17,200,45,22.5,0.16,51.2,2.48
Caldas 2017,Aguadas,1158,331,827,0,100,65.54,9,16,10,22,0,0,3.5,25,8.73,-,-,-,-,-,-,112,90,80.36,0.1,1.57,0.34,22,0,0,0.18,4.52,1.85,112,90,80.36,0,2419.2,1573.95,112,43,38.39,1,868,26.95,112,0,0,16.78,769,141.13,18,6,33.33,0,12.6,4.21,0,0,0,-,-,-,22,0,0,4.6,11.9,9.2,112,86,76.79,0,2419.2,167.96,-,-,-,-,-,-,0,0,0,-,-,-,22,0,0,0.02,0.3,0.07,22,0,0,0,0,0,112,0,0,0,0,0,112,2,1.79,6.59,9.51,7.64,112,0,0,0,0,0,22,0,0,0,1,0.09,112,40,35.71,0.16,179,4.31
Caldas 2017,Anserma,1355,540,815,0,98.13,53.41,2,16,9,33,0,0,0.9,52.6,23.78,-,-,-,-,-,-,122,89,72.95,0.25,1.45,0.49,33,0,0,1.84,9.78,4.97,144,89,61.81,0,2419.2,1227.16,122,56,45.9,1,830,40.14,122,0,0,28.25,467.4,124.98,15,4,26.67,0,9.8,2.93,0,0,0,-,-,-,33,0,0,12.2,67.8,29.36,144,88,61.11,0,2419.2,179.81,-,-,-,-,-,-,0,0,0,-,-,-,33,1,3.03,0.01,0.9,0.06,33,0,0,0,0.01,0,122,0,0,0,0,0,122,0,0,6.78,8.61,7.57,122,0,0,0,0,0,33,0,0,0,1,0.15,122,52,42.62,0.11,148,6.06
Caldas 2017,Aranzazu,866,212,654,0,98.13,66.96,9,16,9,11,0,0,9.7,60.3,18.44,-,-,-,-,-,-,87,76,87.36,0.25,1.44,0.34,11,0,0,0.74,3.89,2.26,87,76,87.36,0,2419.2,1347.24,87,33,37.93,1,228,24.79,87,0,0,25.89,337,123.75,17,4,23.53,0,10.2,2.94,0,0,0,-,-,-,11,0,0,13.5,22.8,17.2,87,71,81.61,0,2419.2,177.82,-,-,-,-,-,-,0,0,0,-,-,-,11,0,0,0.01,0.08,0.04,11,0,0,0,0.01,0,87,0,0,0,0,0,87,1,1.15,6.42,8.38,7.48,87,0,0,0,0,0,11,0,0,0,16,5.64,87,19,21.84,0.13,31.8,2.72
Caldas 2017,Belalcázar,864,202,662,0,100,76.85,9,16,9,11,0,0,14.4,106.7,53.72,-,-,-,-,-,-,87,76,87.36,0.25,1.29,0.32,11,0,0,2.44,7.41,5.57,87,76,87.36,0,2419.2,1895.53,87,49,56.32,1,423,35.6,87,0,0,27.6,302,221.14,15,2,13.33,0,11.7,2.11,0,0,0,-,-,-,11,0,0,16,129.6,69.68,87,76,87.36,0,2419.2,308.09,-,-,-,-,-,-,0,0,0,-,-,-,11,0,0,0.01,0.09,0.03,11,0,0,0,0.01,0,87,0,0,0,0,0,87,1,1.15,7.26,9.2,8.05,87,0,0,0,0,0,11,0,0,0,1,0.36,87,49,56.32,0.16,80.1,5.55
Caldas 2017,Chinchiná,1032,792,240,0,98.06,21.29,2,16,9,46,0,0,19,75.9,46.67,-,-,-,-,-,-,75,27,36,0.25,1.58,0.88,46,0,0,0,13.22,9.2,108,27,25,0,2419.2,404.28,75,20,26.67,0,166,16.2,75,0,0,32.6,240.4,162.97,11,0,0,0,3,0.99,0,0,0,-,-,-,47,0,0,34.2,77.9,60.78,108,24,22.22,0,2419.2,115.01,-,-,-,-,-,-,0,0,0,-,-,-,47,0,0,0.01,0.2,0.04,47,0,0,0,0.01,0,75,0,0,0,0,0,75,0,0,6.8,8.31,7.66,75,0,0,0,0,0,47,0,0,0,26,11.6,75,18,24,0.14,23.4,2.27
Caldas 2017,Filadelfia,803,265,538,0,98.13,61.93,9,16,10,14,0,0,21.3,75.4,51.96,-,-,-,-,-,-,79,65,82.28,0.09,1.5,0.29,14,0,0,0,10.17,3.19,79,64,81.01,0,2419.2,977.02,79,19,24.05,0,149,14.22,79,0,0,61.3,438,241.36,8,2,25,0.3,8.7,3.06,0,0,0,-,-,-,14,0,0,18.9,98.2,73.04,79,60,75.95,0,2419.2,86.77,-,-,-,-,-,-,0,0,0,-,-,-,14,0,0,0,0.25,0.05,14,0,0,0,0.01,0,79,0,0,0,0,0,79,0,0,6.67,8.98,7.78,79,0,0,0,0,0,14,0,0,0,31,18.21,79,17,21.52,0.08,27.9,1.92
Caldas 2017,La Dorada,725,661,64,0,98.06,11.37,2,16,10,38,0,0,4,134.3,26.4,-,-,-,-,-,-,51,10,19.61,0.25,1.5,0.89,35,0,0,3.12,8.55,6.61,72,9,12.5,0,2419.2,156.07,51,11,21.57,1,950,47.61,51,0,0,50.3,371,141.6,4,0,0,1.8,2.5,2.2,0,0,0,-,-,-,35,0,0,22.3,60,30.68,72,5,6.94,0,686.7,20.37,-,-,-,-,-,-,0,0,0,-,-,-,38,0,0,0,0.13,0.04,37,0,0,0,0.01,0,51,0,0,0,0,0,51,0,0,6.54,7.87,7.44,51,0,0,0,0,0,37,0,0,0,11,4.89,51,11,21.57,0.15,179,8.93
Caldas 2017,La Merced,421,166,255,0,98.13,52.75,9,16,10,11,0,0,13.8,47.7,35.98,-,-,-,-,-,-,39,28,71.79,0.25,1.23,0.42,11,0,0,0.39,2.52,1.54,39,28,71.79,0,2419.2,1295.84,39,6,15.38,1,42,8.92,39,0,0,67.7,477,160.78,4,2,50,1,13.1,6.55,0,0,0,-,-,-,11,0,0,35,51.4,41.89,39,27,69.23,0,290.9,43.55,-,-,-,-,-,-,0,0,0,-,-,-,11,0,0,0.02,0.14,0.05,11,0,0,0,0,0,39,0,0,0,0,0,39,0,0,6.69,8.63,7.74,39,0,0,0,0,0,11,0,0,0,7,3.45,39,3,7.69,0.29,5.11,1.06
Caldas 2017,Manzanares,1187,346,841,0,98.06,60.8,9,16,10,23,0,0,8.5,160.9,21.57,-,-,-,-,-,-,116,93,80.17,0.25,25,0.61,23,0,0,0,8.58,1.93,116,93,80.17,0,2419.2,1121.95,116,16,13.79,1,165,9.99,116,0,0,10.33,43.5,27.81,5,3,60,0,9.8,5.5,0,0,0,-,-,-,23,0,0,5.6,9.2,7.17,116,93,80.17,0,2419.2,92.38,-,-,-,-,-,-,0,0,0,-,-,-,23,0,0,0,0.15,0.03,23,0,0,0,0.01,0,116,0,0,0,0,0,116,0,0,6.72,8.08,7.32,116,0,0,0,0,0,23,0,0,0,3,0.35,116,17,14.66,0.15,42.9,1.6
Caldas 2017,Marmato,528,166,362,0,98.06,67.65,9,16,10,11,0,0,6.9,21.3,17.62,-,-,-,-,-,-,51,40,78.43,0.25,0.84,0.34,11,0,0,0,4.42,1.72,51,40,78.43,0,2419.2,1661.77,51,25,49.02,1,224,26.1,51,0,0,45.5,594,127.1,3,0,0,1.8,4.5,3.27,0,0,0,-,-,-,11,0,0,17.5,38.3,22.34,51,39,76.47,0,2419.2,329.4,-,-,-,-,-,-,0,0,0,-,-,-,11,0,0,0.02,0.24,0.06,11,0,0,0,0.01,0,51,0,0,0,0,0,51,0,0,6.53,8.46,7.5,51,0,0,0,0,0,11,0,0,0,18,1.91,51,24,47.06,0.21,40.7,3.75
Caldas 2017,Marquetalia,792,166,626,0,98.06,69.03,9,16,10,11,0,0,16.3,32.1,25,-,-,-,-,-,-,79,68,86.08,0.25,1.08,0.36,11,0,0,0.28,5.92,2.51,79,68,86.08,0,2419.2,1975.3,79,23,29.11,1,45,13.3,79,0,0,16.48,82.7,49.2,15,2,13.33,0,10.9,2.59,0,0,0,-,-,-,11,0,0,20.5,33.8,28.27,79,68,86.08,0,1986.3,159.49,-,-,-,-,-,-,0,0,0,-,-,-,11,0,0,0.01,0.08,0.03,11,0,0,0,0,0,79,0,0,0,0,0,79,0,0,6.8,8.55,7.43,79,0,0,0,0,0,11,0,0,0,4,0.55,79,25,31.65,0.1,9.18,1.74
Caldas 2017,Marulanda,300,165,135,0,98.06,57.63,9,15,11,11,0,0,6.8,35.6,18.82,-,-,-,-,-,-,26,18,69.23,0.08,1.94,0.46,11,0,0,0,2.44,0.74,26,17,65.38,0,2419.2,860.84,26,16,61.54,1,184,45.81,26,0,0,36,153.1,65.32,0,0,0,,,,0,0,0,-,-,-,11,0,0,9.5,31.3,18.3,26,15,57.69,0,613.1,50.57,-,-,-,-,-,-,0,0,0,-,-,-,11,0,0,0.02,0.3,0.13,11,0,0,0,0.02,0.01,26,0,0,0,0,0,26,0,0,6.95,8.16,7.45,26,0,0,0,0,0,11,0,0,0,3,1.36,26,12,46.15,0.13,20.8,4
Caldas 2017,Neira,898,385,513,0,100,56.79,9,16,10,24,0,0,13.6,70.4,24.33,-,-,-,-,-,-,83,57,68.67,0.25,1.39,0.5,22,0,0,2.05,13.32,4.76,83,57,68.67,0,2419.2,1256.09,83,36,43.37,1,391,36.64,83,0,0,46.5,689,155.04,11,2,18.18,0,8.1,2.01,0,0,0,-,-,-,22,0,0,9.2,30.1,24.24,83,57,68.67,0,2419.2,214.21,-,-,-,-,-,-,0,0,0,-,-,-,24,0,0,0,0.07,0.03,24,0,0,0,0.01,0,83,0,0,0,0,0,83,2,2.41,5.55,8.56,7.6,82,0,0,0,0,0,24,0,0,0,7,3.13,83,21,25.3,0.15,49.7,4.06
Caldas 2017,Norcasia,557,324,233,0,98.06,41.75,2,16,11,21,0,0,0,12.7,8.42,-,-,-,-,-,-,47,24,51.06,0.1,1.9,0.66,20,0,0,0,5.81,1.83,47,29,61.7,0,2419.2,1196.31,47,7,14.89,1,60,9.77,47,0,0,11.19,48.9,25.83,5,0,0,0,3.7,1.84,2,0,0,0,0,0,21,0,0,4.7,13.4,7.82,47,27,57.45,0,2419.2,206.95,-,-,-,-,-,-,2,0,0,0,0,0,21,0,0,0,0.17,0.03,21,0,0,0,0,0,47,0,0,0,0,0,47,1,2.13,6.44,7.91,7.24,47,0,0,0,0,0,21,0,0,0,1,0.29,47,6,12.77,0.1,5.91,0.95
Caldas 2017,Pácora,713,436,277,0,98.13,42.24,2,15,10,22,0,0,0,47.6,26.84,-,-,-,-,-,-,64,30,46.88,0.25,1.99,0.76,22,0,0,0,8.19,2.41,64,31,48.44,0,2419.2,797.01,64,23,35.94,1,544,34.83,64,0,0,47.8,316,126.12,11,2,18.18,0,10,2.82,1,0,0,0,0,0,20,0,0,0,54.6,33.87,64,31,48.44,0,1119.9,60.19,-,-,-,-,-,-,1,0,0,0,0,0,21,2,9.52,0.02,1.16,0.14,20,0,0,0,0.05,0.01,64,0,0,0,0,0,64,0,0,6.63,8.8,7.67,64,0,0,0,0,0,19,0,0,0,9,2.32,64,21,32.81,0.21,99.3,6.27
Caldas 2017,Palestina,683,557,126,0,98.06,25.35,2,16,12,35,0,0,27,122.6,56.23,-,-,-,-,-,-,52,13,25,0.07,1.92,0.78,35,0,0,4.08,15.19,8.98,52,14,26.92,0,2419.3,634.67,52,14,26.92,1,149,16.69,52,0,0,124.5,341,222.4,4,0,0,0,0.9,0.28,1,0,0,0,0,0,35,0,0,45.6,132.6,76.35,52,14,26.92,0,2419.2,83.07,-,-,-,-,-,-,1,0,0,0,0,0,35,0,0,0,0.3,0.06,34,1,2.94,0,0.32,0.01,52,0,0,0,0,0,52,0,0,6.53,8.97,7.75,52,0,0,0,0,0,35,0,0,0,33,10.06,52,14,26.92,0.15,22.6,2.23
Caldas 2017,Pensilvania,964,398,566,0,98.06,49.97,9,16,10,27,0,0,5.6,22,11.33,-,-,-,-,-,-,89,61,68.54,0.1,1.5,0.36,26,0,0,0,9.39,3.96,89,60,67.42,0,2419.2,872.97,89,13,14.61,1,63,9.21,89,0,0,17.4,172.7,50.94,3,0,0,0.2,2.9,1.3,0,0,0,-,-,-,26,0,0,6.5,51,25.13,89,58,65.17,0,275.5,27.61,-,-,-,-,-,-,0,0,0,-,-,-,27,0,0,0,0.17,0.07,27,0,0,0,0.02,0,89,0,0,0,0,0,89,4,4.49,5.79,7.99,7.22,89,0,0,0,0,0,27,0,0,0,36,13.19,89,7,7.87,0.1,7.25,0.9
Caldas 2017,Riosucio,1221,581,640,0,98.13,49.92,2,16,9,35,0,0,3.1,53.3,21.39,-,-,-,-,-,-,107,74,69.16,0.25,1.4,0.51,35,0,0,0,6.63,2.24,127,74,58.27,0,2419.2,1106.83,107,48,44.86,1,221,24.41,107,0,0,47.6,184,92.75,11,4,36.36,0.2,12.6,4.18,0,0,0,-,-,-,34,0,0,10.5,36.8,26.91,127,74,58.27,0,2419.2,133.56,-,-,-,-,-,-,0,0,0,-,-,-,34,0,0,0,0.2,0.06,35,0,0,0,0.01,0,107,0,0,0,0,0,107,0,0,6.62,8.86,7.54,107,0,0,0,0,0,34,0,0,0,17,9.15,107,39,36.45,0.15,32.4,3.15
